from_place,Destination,Travel_Mode,Accommodation_Type,Food_Preference,Activity,Purpose,Travel_Duration_Days,Season,Month,Group_Size,Distance_in_km,Specific_Interests,Discounts_Offers,Destination_Popularity,Cost_Transportation,Cost_Accommodation,Cost_Food,Cost_Activities,Age_Group,Income_Level,Budget
Bangalore,Bangalore,Car,Resort,Budget Meals,Cultural Events,Leisure,8,Winter,March,2,1816,Religious Sites,None,Low,4322,5694,630,9915,Youth,High,21331
Mumbai,Goa,Car,Homestay,Budget Meals,Cultural Events,Leisure,13,Summer,August,5,2052,Adventure Sports,Airline Miles,High,3047,14125,4536,2852,Senior,High,25431
Mumbai,Goa,Car,Resort,Local Cuisine,Shopping,Work,12,Summer,November,5,1689,Adventure Sports,Airline Miles,Medium,10141,8288,3239,7982,Youth,Low,17874
Delhi,Jaipur,Flight,Hostel,Non-Vegetarian,Sightseeing,Adventure,6,Summer,November,6,902,Beaches,Airline Miles,Medium,5153,1709,4913,6632,Youth,High,23168
Kolkata,Varanasi,Train,Hotel,Non-Vegetarian,Trekking,Pilgrimage,3,Autumn,January,2,1068,Historical Sites,Hotel Membership,Medium,9754,17339,943,4870,Senior,High,26246
Mumbai,Goa,Bus,Hostel,Non-Vegetarian,Shopping,Pilgrimage,9,Winter,October,5,690,Historical Sites,Travel Discounts,High,10607,3986,2543,6156,Youth,Middle,25024
Delhi,Delhi,Bus,Homestay,Vegetarian,Relaxation,Adventure,4,Autumn,June,3,2082,Religious Sites,Hotel Membership,High,1285,15109,1485,7225,Youth,Low,26835
Delhi,Jaipur,Bus,Resort,Non-Vegetarian,Shopping,Work,3,Autumn,February,3,220,Historical Sites,Travel Discounts,Medium,8546,3534,3007,3610,Senior,Low,5050
Kolkata,Kolkata,Flight,Hotel,Vegetarian,Sightseeing,Leisure,4,Winter,January,6,936,Wildlife,None,Medium,11755,4754,3661,4482,Senior,High,23646
Bangalore,Kerala,Car,Resort,Local Cuisine,Sightseeing,Pilgrimage,9,Monsoon,November,1,2756,Religious Sites,Airline Miles,High,1197,16701,1778,8499,Youth,Low,44051
Delhi,Jaipur,Flight,Homestay,Budget Meals,Trekking,Work,10,Autumn,May,1,1959,Wildlife,Hotel Membership,Low,5182,12359,2826,9488,Youth,Middle,18813
Kolkata,Varanasi,Flight,Homestay,Budget Meals,Cultural Events,Pilgrimage,12,Autumn,September,5,1761,Historical Sites,None,Medium,6805,15126,872,6252,Senior,High,7314
Delhi,Shimla,Car,Hostel,Local Cuisine,Trekking,Leisure,11,Autumn,April,5,650,Beaches,Airline Miles,Medium,12526,16624,4449,4464,Youth,High,8199
Delhi,Delhi,Flight,Resort,Budget Meals,Relaxation,Adventure,4,Autumn,February,3,1209,Historical Sites,Airline Miles,Medium,6521,11526,694,1447,Adult,Middle,43790
Bangalore,Bangalore,Flight,Hotel,Non-Vegetarian,Relaxation,Adventure,9,Summer,September,5,2009,Religious Sites,Airline Miles,High,9620,8201,986,950,Youth,High,46359
Bangalore,Kerala,Bus,Hostel,Local Cuisine,Trekking,Pilgrimage,12,Autumn,December,6,1188,Wildlife,Travel Discounts,High,9388,17270,2094,6385,Youth,High,19812
Bangalore,Bangalore,Car,Hostel,Non-Vegetarian,Shopping,Work,10,Autumn,January,1,729,Historical Sites,Hotel Membership,Low,8669,15798,1336,3522,Adult,Low,26450
Delhi,Shimla,Flight,Homestay,Vegetarian,Relaxation,Work,15,Monsoon,February,4,1698,Shopping,Airline Miles,Low,10065,10630,2756,8461,Senior,High,38216
Mumbai,Goa,Car,Hostel,Budget Meals,Sightseeing,Pilgrimage,5,Monsoon,September,3,1290,Historical Sites,Hotel Membership,Low,14703,13874,2067,1655,Youth,Middle,36040
Delhi,Delhi,Car,Hotel,Local Cuisine,Shopping,Leisure,6,Winter,December,2,1607,Adventure Sports,None,High,1401,9640,4220,2015,Senior,High,9828
Bangalore,Kerala,Flight,Hostel,Local Cuisine,Cultural Events,Work,7,Summer,May,1,235,Historical Sites,None,Low,11379,4393,3056,659,Adult,Low,36863
Delhi,Delhi,Train,Homestay,Vegetarian,Cultural Events,Leisure,7,Winter,September,3,1746,Historical Sites,Travel Discounts,High,2133,1713,2121,2213,Adult,Middle,25435
Kolkata,Kolkata,Bus,Homestay,Budget Meals,Trekking,Work,10,Autumn,October,3,273,Historical Sites,Hotel Membership,Low,10512,18211,4184,560,Senior,Low,26503
Delhi,Delhi,Flight,Hostel,Budget Meals,Relaxation,Pilgrimage,4,Autumn,May,1,67,Beaches,Airline Miles,Low,11582,19236,872,6196,Adult,Middle,17178
Delhi,Delhi,Flight,Hotel,Vegetarian,Sightseeing,Adventure,13,Autumn,February,2,1369,Historical Sites,Hotel Membership,Medium,9536,14107,4300,5420,Senior,Middle,26776
Bangalore,Bangalore,Bus,Homestay,Vegetarian,Cultural Events,Leisure,13,Winter,January,1,1917,Historical Sites,Hotel Membership,Medium,10756,7464,2154,1105,Adult,High,21151
Bangalore,Kerala,Flight,Hotel,Budget Meals,Sightseeing,Adventure,3,Winter,March,1,1147,Historical Sites,Travel Discounts,High,4807,8644,4751,5464,Senior,High,7392
Kolkata,Kolkata,Bus,Homestay,Non-Vegetarian,Trekking,Leisure,10,Summer,December,2,1525,Historical Sites,Hotel Membership,Low,7322,4659,4412,7977,Youth,Low,49545
Kolkata,Varanasi,Train,Homestay,Budget Meals,Trekking,Pilgrimage,11,Summer,April,6,2344,Adventure Sports,Travel Discounts,Medium,10067,15851,1257,4772,Senior,Low,37460
Delhi,Delhi,Bus,Hostel,Vegetarian,Cultural Events,Adventure,10,Winter,June,3,2340,Beaches,None,High,7366,5464,3277,901,Adult,High,7187
Bangalore,Bangalore,Train,Homestay,Local Cuisine,Cultural Events,Pilgrimage,9,Autumn,January,1,1262,Religious Sites,Hotel Membership,High,8789,4245,4931,6973,Adult,High,18672
Bangalore,Bangalore,Train,Homestay,Local Cuisine,Trekking,Leisure,8,Summer,July,1,79,Historical Sites,Travel Discounts,Medium,2153,16062,2077,9705,Adult,Middle,6563
Bangalore,Bangalore,Flight,Hostel,Vegetarian,Trekking,Leisure,3,Summer,November,2,2224,Wildlife,Travel Discounts,High,12040,8145,1102,1505,Adult,High,49078
Mumbai,Mumbai,Flight,Resort,Budget Meals,Trekking,Adventure,8,Autumn,February,5,617,Wildlife,Travel Discounts,High,9622,14029,2854,2491,Adult,Middle,25775
Bangalore,Kerala,Train,Hotel,Non-Vegetarian,Trekking,Adventure,7,Autumn,October,2,1784,Shopping,Travel Discounts,High,14706,8989,1707,4191,Senior,High,12626
Bangalore,Kerala,Train,Hostel,Local Cuisine,Trekking,Work,13,Winter,March,4,2517,Wildlife,Hotel Membership,Low,7790,9429,2614,5436,Senior,High,31366
Mumbai,Mumbai,Train,Resort,Budget Meals,Relaxation,Leisure,4,Summer,April,1,1795,Wildlife,Travel Discounts,Medium,6198,12394,957,6867,Senior,Low,9874
Kolkata,Varanasi,Car,Hotel,Non-Vegetarian,Shopping,Leisure,14,Monsoon,July,2,1966,Religious Sites,Airline Miles,High,6308,17669,2932,1687,Senior,Low,14957
Delhi,Rajasthan,Bus,Homestay,Budget Meals,Cultural Events,Work,14,Summer,October,3,2052,Historical Sites,Hotel Membership,High,2204,3109,4427,4048,Adult,Middle,34843
Mumbai,Goa,Train,Resort,Non-Vegetarian,Shopping,Adventure,13,Winter,February,2,1544,Beaches,Hotel Membership,High,1525,17651,1697,9970,Youth,High,35344
Mumbai,Mumbai,Train,Resort,Non-Vegetarian,Trekking,Leisure,3,Summer,February,2,2657,Shopping,Airline Miles,High,8732,5382,553,1549,Senior,Middle,35913
Mumbai,Goa,Bus,Hostel,Budget Meals,Shopping,Leisure,9,Summer,August,5,2909,Shopping,Hotel Membership,Medium,2497,1638,650,6454,Youth,Low,49687
Delhi,Jaipur,Flight,Homestay,Local Cuisine,Trekking,Work,9,Winter,January,2,1763,Beaches,Airline Miles,Low,9666,8566,523,3619,Senior,Middle,16332
Delhi,Rajasthan,Bus,Hostel,Budget Meals,Shopping,Work,12,Summer,September,1,2532,Shopping,Travel Discounts,Medium,14699,19289,4360,5506,Youth,Low,12518
Delhi,Delhi,Flight,Homestay,Local Cuisine,Shopping,Pilgrimage,4,Winter,July,4,1130,Historical Sites,None,Medium,12941,4112,4512,7171,Adult,Low,6236
Bangalore,Bangalore,Car,Hostel,Vegetarian,Relaxation,Work,7,Monsoon,January,3,124,Historical Sites,Airline Miles,Medium,7102,6236,2503,3164,Youth,High,11284
Delhi,Jaipur,Flight,Homestay,Non-Vegetarian,Cultural Events,Adventure,13,Monsoon,May,6,284,Religious Sites,Hotel Membership,High,2424,4794,3200,3107,Adult,Middle,24933
Delhi,Jaipur,Car,Hostel,Budget Meals,Cultural Events,Work,9,Winter,August,3,2227,Historical Sites,Travel Discounts,Low,8074,3208,3035,2650,Youth,High,7646
Delhi,Delhi,Bus,Homestay,Local Cuisine,Shopping,Work,3,Monsoon,October,4,1864,Religious Sites,Travel Discounts,Low,4661,1600,3002,5928,Adult,Middle,26363
Delhi,Rajasthan,Car,Homestay,Local Cuisine,Sightseeing,Leisure,9,Monsoon,September,5,1953,Adventure Sports,Airline Miles,Medium,12621,18094,3579,1495,Youth,High,5036
Delhi,Delhi,Bus,Resort,Budget Meals,Sightseeing,Work,13,Summer,January,6,2080,Historical Sites,Travel Discounts,Low,3074,16287,1361,5879,Senior,Middle,38265
Mumbai,Goa,Train,Hostel,Budget Meals,Relaxation,Pilgrimage,5,Autumn,September,6,479,Wildlife,None,Low,1140,1133,4352,4386,Adult,High,38643
Mumbai,Mumbai,Bus,Homestay,Local Cuisine,Cultural Events,Pilgrimage,15,Winter,January,4,1700,Beaches,Hotel Membership,Medium,10306,4575,3703,1007,Senior,Middle,25296
Delhi,Delhi,Bus,Hostel,Local Cuisine,Relaxation,Leisure,10,Autumn,June,5,1337,Shopping,Travel Discounts,Low,6069,8146,3011,1138,Adult,High,44712
Delhi,Delhi,Flight,Resort,Vegetarian,Cultural Events,Adventure,9,Summer,June,6,154,Wildlife,Airline Miles,High,12722,17418,3134,5128,Youth,Low,11155
Delhi,Delhi,Car,Homestay,Non-Vegetarian,Relaxation,Pilgrimage,13,Summer,April,1,616,Beaches,Hotel Membership,Medium,11208,15761,1776,4800,Senior,High,7832
Mumbai,Goa,Train,Hostel,Non-Vegetarian,Trekking,Pilgrimage,10,Monsoon,July,5,1400,Shopping,Travel Discounts,High,1602,2341,3867,2360,Adult,Middle,36935
Bangalore,Kerala,Train,Resort,Local Cuisine,Shopping,Pilgrimage,12,Autumn,February,2,491,Shopping,Travel Discounts,High,8169,14278,1346,3020,Youth,Low,22963
Delhi,Jaipur,Train,Hotel,Local Cuisine,Cultural Events,Pilgrimage,7,Monsoon,April,6,67,Adventure Sports,None,Medium,4477,11906,4011,608,Adult,Middle,32475
Kolkata,Varanasi,Bus,Hostel,Non-Vegetarian,Trekking,Adventure,9,Winter,May,6,1733,Wildlife,Airline Miles,Low,1284,7020,2005,2952,Youth,High,17562
Kolkata,Varanasi,Bus,Homestay,Vegetarian,Cultural Events,Leisure,10,Autumn,November,4,147,Shopping,Airline Miles,High,5142,11136,771,7989,Adult,High,44681
Kolkata,Varanasi,Train,Hotel,Budget Meals,Trekking,Leisure,11,Summer,November,2,2459,Wildlife,Hotel Membership,High,8870,3786,1807,3339,Adult,Low,47536
Mumbai,Goa,Train,Hostel,Non-Vegetarian,Cultural Events,Adventure,14,Autumn,January,3,1221,Shopping,None,High,3469,6202,4747,922,Youth,Low,23332
Kolkata,Kolkata,Flight,Homestay,Local Cuisine,Cultural Events,Adventure,8,Monsoon,March,6,1158,Historical Sites,Travel Discounts,Medium,3549,9423,3306,3398,Adult,Middle,37982
Delhi,Delhi,Car,Resort,Local Cuisine,Cultural Events,Adventure,11,Winter,August,1,2904,Adventure Sports,Travel Discounts,High,11073,17841,4597,7934,Youth,High,40149
Mumbai,Mumbai,Train,Resort,Vegetarian,Relaxation,Work,11,Winter,December,6,1596,Religious Sites,Travel Discounts,Low,9453,14901,772,5983,Adult,High,14609
Kolkata,Kolkata,Flight,Hostel,Vegetarian,Cultural Events,Adventure,7,Monsoon,November,1,641,Historical Sites,Airline Miles,Low,12234,9849,1181,7035,Youth,Low,35929
Bangalore,Bangalore,Flight,Homestay,Vegetarian,Relaxation,Adventure,3,Winter,December,5,2856,Historical Sites,Travel Discounts,High,12870,2796,4360,5173,Youth,Middle,12766
Delhi,Delhi,Train,Resort,Local Cuisine,Cultural Events,Adventure,10,Monsoon,July,1,2793,Historical Sites,None,Medium,1835,4477,4566,9597,Senior,Middle,14939
Mumbai,Goa,Train,Hotel,Local Cuisine,Sightseeing,Work,8,Autumn,March,6,2617,Historical Sites,Travel Discounts,Low,13952,16511,2703,8048,Senior,High,48589
Delhi,Shimla,Train,Resort,Local Cuisine,Relaxation,Adventure,14,Summer,June,2,1621,Historical Sites,None,Low,4460,15444,2889,1144,Senior,Middle,25265
Bangalore,Kerala,Train,Hostel,Budget Meals,Relaxation,Work,10,Autumn,July,5,521,Wildlife,Travel Discounts,Low,11769,2521,3475,9035,Adult,High,32770
Kolkata,Kolkata,Flight,Homestay,Local Cuisine,Relaxation,Leisure,11,Monsoon,September,4,750,Shopping,Hotel Membership,Low,11112,19925,4077,3925,Youth,Middle,8821
Delhi,Shimla,Train,Homestay,Non-Vegetarian,Cultural Events,Leisure,4,Winter,December,5,1573,Religious Sites,Airline Miles,High,4977,12697,3875,2429,Senior,High,12638
Delhi,Delhi,Flight,Resort,Non-Vegetarian,Shopping,Leisure,15,Summer,November,4,1134,Wildlife,Hotel Membership,Low,14537,6372,4735,8434,Senior,Low,7613
Bangalore,Bangalore,Train,Hotel,Local Cuisine,Cultural Events,Pilgrimage,12,Autumn,May,4,70,Wildlife,Hotel Membership,Medium,14015,6906,1160,4796,Adult,Low,40378
Kolkata,Varanasi,Train,Resort,Local Cuisine,Relaxation,Leisure,15,Summer,October,2,1785,Wildlife,Travel Discounts,Medium,5567,11793,4700,4726,Adult,Middle,22788
Bangalore,Kerala,Train,Homestay,Vegetarian,Sightseeing,Work,14,Summer,July,1,2881,Beaches,Airline Miles,Medium,5082,17906,722,2316,Youth,Middle,43092
Delhi,Jaipur,Bus,Homestay,Budget Meals,Relaxation,Work,9,Autumn,February,1,1525,Beaches,None,High,11768,14726,3246,4634,Senior,Low,48848
Delhi,Shimla,Train,Hotel,Budget Meals,Sightseeing,Work,14,Monsoon,April,2,266,Shopping,Airline Miles,Medium,8480,12539,3927,3581,Youth,Low,13554
Delhi,Rajasthan,Flight,Hostel,Vegetarian,Cultural Events,Work,11,Winter,July,4,367,Adventure Sports,Travel Discounts,Medium,8094,11685,2928,1809,Senior,Low,36999
Delhi,Rajasthan,Train,Homestay,Non-Vegetarian,Sightseeing,Work,13,Autumn,July,5,219,Religious Sites,Hotel Membership,High,6379,6050,864,4473,Youth,High,39295
Delhi,Delhi,Train,Resort,Vegetarian,Trekking,Work,14,Summer,July,4,2192,Beaches,Airline Miles,Low,12508,12073,2024,8220,Youth,High,15442
Kolkata,Varanasi,Car,Hotel,Non-Vegetarian,Trekking,Leisure,11,Summer,May,4,377,Beaches,Hotel Membership,Low,7033,16739,2488,6105,Adult,Low,36661
Delhi,Delhi,Train,Resort,Budget Meals,Sightseeing,Leisure,7,Monsoon,September,3,2940,Historical Sites,Airline Miles,Medium,14366,15685,685,5614,Senior,Low,26665
Mumbai,Mumbai,Flight,Hostel,Local Cuisine,Shopping,Pilgrimage,7,Summer,October,4,1926,Historical Sites,Hotel Membership,Medium,11446,10354,3774,8040,Youth,High,31905
Kolkata,Kolkata,Bus,Resort,Vegetarian,Shopping,Pilgrimage,11,Autumn,August,6,984,Shopping,Hotel Membership,Low,6411,12542,4879,8122,Senior,Middle,48987
Mumbai,Goa,Flight,Resort,Non-Vegetarian,Trekking,Pilgrimage,8,Monsoon,March,4,1174,Religious Sites,None,Low,1773,8385,2506,9935,Senior,Low,43186
Bangalore,Kerala,Train,Resort,Vegetarian,Cultural Events,Work,11,Monsoon,July,5,2608,Wildlife,None,High,4386,15976,2795,3739,Adult,Middle,19669
Kolkata,Varanasi,Flight,Hostel,Budget Meals,Cultural Events,Work,11,Monsoon,July,3,2540,Religious Sites,Hotel Membership,Medium,11020,19679,3538,6526,Youth,Middle,35199
Delhi,Shimla,Train,Resort,Non-Vegetarian,Relaxation,Leisure,10,Monsoon,May,1,2340,Beaches,Airline Miles,Medium,11956,18353,4601,3187,Youth,Middle,12519
Delhi,Shimla,Flight,Hotel,Non-Vegetarian,Sightseeing,Pilgrimage,8,Monsoon,June,2,295,Shopping,Hotel Membership,High,1421,17806,4980,2818,Adult,Low,37206
Delhi,Delhi,Bus,Hostel,Non-Vegetarian,Sightseeing,Work,14,Winter,December,6,758,Beaches,None,Low,2450,19077,817,6426,Senior,High,23645
Delhi,Rajasthan,Bus,Resort,Local Cuisine,Relaxation,Leisure,14,Autumn,October,3,412,Beaches,None,Low,2424,4730,2170,5457,Senior,High,6763
Delhi,Delhi,Bus,Homestay,Budget Meals,Sightseeing,Work,6,Autumn,December,2,1941,Historical Sites,Airline Miles,High,3469,1849,1855,1914,Senior,High,44375
Delhi,Delhi,Flight,Hostel,Vegetarian,Sightseeing,Pilgrimage,12,Winter,March,5,2203,Wildlife,Airline Miles,High,14508,19752,1382,9932,Senior,Low,25009
Delhi,Jaipur,Train,Hotel,Non-Vegetarian,Trekking,Pilgrimage,9,Summer,February,4,670,Shopping,None,High,1185,8132,4988,9727,Youth,High,41804
Bangalore,Kerala,Car,Homestay,Vegetarian,Shopping,Leisure,4,Summer,March,1,1069,Wildlife,None,Low,8778,13807,3325,1450,Senior,Middle,20674
Kolkata,Varanasi,Bus,Hostel,Local Cuisine,Cultural Events,Work,6,Summer,February,4,156,Shopping,Hotel Membership,Medium,14875,2015,2039,9893,Senior,Middle,9931
Delhi,Delhi,Flight,Resort,Budget Meals,Cultural Events,Leisure,3,Monsoon,July,5,1675,Shopping,None,Medium,2771,11429,4783,645,Youth,High,27634
Kolkata,Varanasi,Flight,Homestay,Vegetarian,Relaxation,Adventure,6,Summer,May,2,175,Wildlife,Airline Miles,Medium,6489,1170,4537,3555,Youth,High,21360
Delhi,Shimla,Train,Homestay,Local Cuisine,Shopping,Pilgrimage,8,Winter,October,4,148,Wildlife,Airline Miles,Low,9012,7404,3747,9717,Senior,Low,12377
Delhi,Rajasthan,Train,Hotel,Vegetarian,Shopping,Work,9,Monsoon,September,3,1742,Wildlife,None,High,9046,3894,1567,1132,Adult,Low,21733
Bangalore,Kerala,Car,Homestay,Local Cuisine,Trekking,Adventure,10,Winter,May,3,2152,Wildlife,Hotel Membership,Medium,8199,6841,4956,2347,Senior,Middle,31190
Delhi,Delhi,Car,Hotel,Vegetarian,Cultural Events,Adventure,4,Autumn,January,2,1586,Wildlife,Hotel Membership,Medium,12620,9834,3605,6244,Adult,Low,11683
Kolkata,Kolkata,Train,Resort,Local Cuisine,Trekking,Adventure,10,Winter,April,3,2821,Adventure Sports,Travel Discounts,High,4782,1227,1206,2019,Senior,Middle,10865
Delhi,Rajasthan,Train,Resort,Non-Vegetarian,Trekking,Adventure,15,Monsoon,November,2,2878,Shopping,Hotel Membership,High,10517,11644,4194,851,Senior,Low,43472
Mumbai,Mumbai,Flight,Hotel,Budget Meals,Shopping,Leisure,11,Summer,July,6,1113,Adventure Sports,Airline Miles,Medium,14319,16184,777,755,Senior,Middle,12438
Delhi,Rajasthan,Car,Homestay,Local Cuisine,Sightseeing,Pilgrimage,15,Monsoon,May,3,2561,Wildlife,Travel Discounts,Low,6795,15258,1568,8276,Adult,Low,16877
Delhi,Jaipur,Flight,Hotel,Vegetarian,Cultural Events,Leisure,13,Monsoon,May,4,2425,Wildlife,Travel Discounts,High,10024,8469,1829,7423,Adult,High,34283
Delhi,Jaipur,Car,Hotel,Vegetarian,Sightseeing,Leisure,10,Winter,March,6,2966,Religious Sites,None,Low,5943,19331,2808,1972,Senior,Middle,5836
Delhi,Rajasthan,Train,Homestay,Local Cuisine,Trekking,Work,13,Summer,November,5,1982,Shopping,None,Medium,6336,13398,2743,7976,Senior,Middle,18976
Bangalore,Kerala,Flight,Homestay,Non-Vegetarian,Sightseeing,Adventure,3,Monsoon,February,6,58,Historical Sites,Travel Discounts,Medium,7255,3677,1344,8771,Youth,Low,49245
Bangalore,Bangalore,Car,Homestay,Local Cuisine,Trekking,Pilgrimage,10,Monsoon,December,2,1037,Adventure Sports,None,Low,10183,4964,1704,6080,Youth,Low,18951
Delhi,Shimla,Flight,Hostel,Vegetarian,Relaxation,Leisure,11,Autumn,August,5,2448,Shopping,Airline Miles,Medium,6907,7660,4999,4022,Senior,High,15710
Delhi,Shimla,Car,Hotel,Budget Meals,Shopping,Adventure,15,Summer,February,6,54,Shopping,Travel Discounts,High,8985,18045,997,9146,Senior,High,48819
Kolkata,Kolkata,Car,Hostel,Non-Vegetarian,Sightseeing,Adventure,15,Summer,May,5,1161,Religious Sites,Travel Discounts,High,11087,14429,3347,1471,Adult,Middle,7301
Mumbai,Mumbai,Bus,Resort,Local Cuisine,Cultural Events,Work,9,Monsoon,November,3,417,Religious Sites,Hotel Membership,High,4175,11070,3234,2668,Youth,Low,35860
Delhi,Rajasthan,Car,Hostel,Budget Meals,Relaxation,Work,3,Autumn,November,3,1464,Religious Sites,Travel Discounts,High,13000,13487,2360,5988,Youth,Middle,19202
Delhi,Jaipur,Bus,Hostel,Non-Vegetarian,Shopping,Adventure,9,Winter,March,3,2950,Shopping,Airline Miles,Low,13567,14375,2211,3680,Youth,Middle,36367
Kolkata,Kolkata,Train,Hostel,Local Cuisine,Trekking,Work,11,Autumn,March,5,995,Beaches,Airline Miles,High,4818,8517,4362,1371,Youth,High,28262
Bangalore,Bangalore,Bus,Hostel,Non-Vegetarian,Shopping,Leisure,6,Monsoon,April,2,1005,Shopping,Hotel Membership,Low,13550,3703,1547,6399,Senior,Middle,34214
Delhi,Jaipur,Flight,Homestay,Budget Meals,Trekking,Adventure,4,Monsoon,November,6,515,Wildlife,Travel Discounts,Medium,14830,12683,3016,5455,Senior,High,43826
Delhi,Rajasthan,Flight,Homestay,Budget Meals,Relaxation,Work,10,Summer,July,3,173,Shopping,Hotel Membership,High,5310,5351,4810,9611,Youth,High,45679
Bangalore,Bangalore,Flight,Hostel,Budget Meals,Relaxation,Adventure,13,Summer,November,2,378,Beaches,Travel Discounts,Medium,13769,3644,744,2593,Adult,Low,49048
Kolkata,Kolkata,Car,Resort,Budget Meals,Sightseeing,Adventure,13,Monsoon,August,4,1979,Wildlife,Hotel Membership,Low,2458,1031,2393,9146,Adult,Low,34998
Mumbai,Mumbai,Train,Resort,Budget Meals,Trekking,Work,4,Autumn,April,6,1859,Wildlife,Hotel Membership,Medium,1118,7588,3349,5749,Senior,Middle,26315
Kolkata,Kolkata,Bus,Resort,Local Cuisine,Trekking,Leisure,10,Autumn,April,1,269,Historical Sites,Airline Miles,Low,7161,8256,1874,6249,Senior,Middle,8814
Kolkata,Varanasi,Train,Hostel,Non-Vegetarian,Trekking,Pilgrimage,11,Summer,October,1,1795,Historical Sites,Hotel Membership,Low,8058,13986,687,7747,Youth,High,34623
Delhi,Rajasthan,Car,Homestay,Local Cuisine,Cultural Events,Work,13,Monsoon,October,3,2630,Religious Sites,Airline Miles,High,7796,10589,3496,9662,Youth,Low,35738
Mumbai,Mumbai,Bus,Resort,Non-Vegetarian,Shopping,Adventure,9,Monsoon,August,2,2870,Wildlife,Hotel Membership,Medium,6648,3879,2067,7749,Senior,Middle,42660
Kolkata,Varanasi,Car,Hotel,Non-Vegetarian,Cultural Events,Pilgrimage,6,Winter,October,4,2131,Wildlife,None,High,1738,17760,3694,5094,Adult,High,22303
Delhi,Rajasthan,Bus,Hostel,Local Cuisine,Trekking,Pilgrimage,7,Monsoon,March,1,814,Religious Sites,None,Low,9944,2474,2216,5908,Adult,Middle,39628
Bangalore,Bangalore,Bus,Resort,Budget Meals,Sightseeing,Pilgrimage,12,Autumn,July,3,1857,Religious Sites,Travel Discounts,High,3906,4794,3269,1225,Youth,High,8840
Bangalore,Bangalore,Car,Homestay,Local Cuisine,Relaxation,Adventure,14,Winter,November,5,2666,Adventure Sports,Airline Miles,Medium,3146,18819,3907,7071,Youth,Low,37945
Delhi,Delhi,Bus,Homestay,Vegetarian,Sightseeing,Work,12,Summer,September,1,483,Beaches,None,Low,1897,13608,1242,5336,Senior,High,27199
Bangalore,Bangalore,Flight,Hostel,Budget Meals,Shopping,Leisure,8,Winter,November,6,2479,Wildlife,Travel Discounts,Medium,1127,18572,593,5598,Senior,Low,27022
Bangalore,Bangalore,Train,Hostel,Local Cuisine,Sightseeing,Adventure,14,Autumn,February,2,2470,Beaches,Airline Miles,High,10216,9689,838,1354,Youth,Middle,11646
Bangalore,Kerala,Car,Resort,Local Cuisine,Relaxation,Pilgrimage,9,Autumn,May,5,78,Historical Sites,None,High,1975,13724,3535,1703,Adult,Middle,15125
Kolkata,Varanasi,Flight,Hostel,Vegetarian,Sightseeing,Adventure,3,Winter,February,6,589,Beaches,Travel Discounts,Low,3222,2951,4015,2968,Youth,Low,47154
Mumbai,Mumbai,Bus,Resort,Vegetarian,Sightseeing,Adventure,13,Autumn,September,1,1230,Adventure Sports,None,Medium,1096,18002,1503,7134,Adult,Low,12060
Delhi,Jaipur,Flight,Homestay,Local Cuisine,Cultural Events,Leisure,11,Autumn,February,3,206,Religious Sites,Hotel Membership,Medium,1189,11892,4608,1069,Adult,Low,9939
Kolkata,Varanasi,Bus,Homestay,Budget Meals,Cultural Events,Work,13,Monsoon,October,6,216,Beaches,Airline Miles,Low,11779,1526,2878,6383,Adult,High,45516
Kolkata,Varanasi,Car,Hostel,Local Cuisine,Trekking,Pilgrimage,10,Winter,October,3,849,Religious Sites,None,Medium,12014,13298,4749,5745,Senior,Low,31623
Delhi,Rajasthan,Car,Hostel,Budget Meals,Cultural Events,Leisure,4,Summer,December,5,1684,Beaches,Travel Discounts,Low,1753,5093,3742,6555,Adult,Low,30574
Kolkata,Varanasi,Car,Homestay,Vegetarian,Trekking,Leisure,8,Summer,February,6,654,Adventure Sports,Hotel Membership,Medium,14617,2109,505,9036,Adult,High,37587
Delhi,Jaipur,Bus,Resort,Vegetarian,Cultural Events,Work,4,Monsoon,March,1,2613,Adventure Sports,Hotel Membership,Medium,1272,11793,2383,5221,Senior,Low,28721
Delhi,Delhi,Train,Hostel,Vegetarian,Sightseeing,Leisure,5,Monsoon,December,2,496,Adventure Sports,Hotel Membership,High,12156,16256,4446,9412,Youth,High,42922
Mumbai,Mumbai,Flight,Hostel,Vegetarian,Sightseeing,Adventure,11,Winter,April,4,2600,Shopping,Airline Miles,High,7691,12265,4294,9008,Senior,Middle,14651
Delhi,Delhi,Bus,Homestay,Budget Meals,Cultural Events,Pilgrimage,15,Autumn,April,6,1280,Shopping,Hotel Membership,High,3101,11548,2159,5856,Youth,Low,27729
Kolkata,Varanasi,Train,Hotel,Local Cuisine,Sightseeing,Work,7,Summer,September,6,2209,Beaches,Travel Discounts,Medium,7207,2450,4860,2605,Senior,High,27046
Kolkata,Varanasi,Bus,Homestay,Budget Meals,Sightseeing,Work,3,Monsoon,April,1,2851,Wildlife,Airline Miles,High,2561,2129,4438,5342,Senior,Low,46010
Mumbai,Mumbai,Bus,Hostel,Vegetarian,Sightseeing,Leisure,15,Monsoon,May,3,633,Adventure Sports,Airline Miles,High,10751,16690,1292,2506,Senior,Middle,30407
Delhi,Delhi,Train,Hostel,Local Cuisine,Relaxation,Adventure,5,Autumn,January,1,153,Shopping,Travel Discounts,Low,12656,18784,3415,9536,Senior,Middle,45777
